Variable;Tau;p-value
Delta_MRIScore;0.22824559600582017;0.33601138086995885
Delta_Frontal;-0.20901814884293995;0.33349593958578283
Delta_Temporal;-0.012295185226055293;0.954634403568857
Delta_Parietal;-0.2827892601992717;0.19072944002776848
Delta_Occipital;-0.5041025942682669;0.019679210935250997
Delta_Insula;-0.3073796306513823;0.15496810882882361
Delta_Subcortical_Deep_Gray;-0.08606629658238704;0.6904709089136574
Delta_Cingulate;-0.08606629658238704;0.6904709089136574
