marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Insula;0.23935545664731914;0.569241673574236;0.3298862169269169;27.726896710700714;1;1.397067120076859e-07;-12.944481323273;2.1590269192217573;2.0283981036721558e-09;0.26550654683514757;0.5734283901337001;500
Frontal;0.23935545664731914;0.5295235871074502;0.290168130460131;23.18863892074745;1;1.4686241019987707e-06;-12.114646962432147;2.2521617296177885;7.485103550935952e-08;0.19585983299954135;0.5528139456390678;500
Cingulate;0.23935545664731914;0.5625303676308689;0.3231749109835498;26.908028862163633;1;2.1337065722661775e-07;-8.248014234126698;1.4306045794890243;8.14621685557239e-09;0.27004611667033984;0.5688286103199276;500
Occipital;0.23935545664731914;0.7086270628363888;0.4692716061890696;52.07237600891767;1;5.349218058284574e-13;-26.68889558842606;2.9580274199831336;1.8379212680244435e-19;0.4227578134355929;0.6868959145521241;500
Subcortical_Deep_Gray;0.23935545664731914;0.6106108677291895;0.3712554110818703;32.64495312853455;1;1.1062629515696295e-08;-11.85976723052402;1.7674060580772248;1.9426810149429517e-11;0.3050741710706911;0.621467777973607;500
Parietal;0.23935545664731914;0.5920739860061746;0.3527185293588554;31.188617547444494;1;2.3413491072031652e-08;-14.368513122518136;2.2535121689342645;1.817100135175156e-10;0.2777031967307212;0.6050697311703435;500
Temporal;0.23935545664731914;0.5616627333691598;0.3223072767218407;27.528660076205426;1;1.5478376561797672e-07;-15.930616894903931;2.660327878705945;2.121557191404091e-09;0.2284474398733439;0.5477290075763138;500
