marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Subcortical_Deep_Gray;0.23935545664731914;0.4897883873048712;0.250432930657552;20.649627696163293;1;5.514790928287132e-06;7688.624723335903;1537.931011493555;5.752985339259506e-07;0.09875389779070522;0.5190141065997096;500
Occipital;0.23935545664731914;0.4978595114381088;0.25850405479078964;23.11152307484673;1;1.5287180305277308e-06;17008.240921472494;3234.9489889398883;1.4590508502748773e-07;0.15232131983050823;0.5336453618943607;500
Frontal;0.23935545664731914;0.3907460623149139;0.15139060566759474;11.295484286118324;1;0.0007769583234930577;7753.56057235923;2241.037296050584;0.000540559057310463;0.05515500196138984;0.3846306575731186;500
Cingulate;0.23935545664731914;0.44311382662713655;0.20375836997981742;17.032538578037645;1;3.674471281095272e-05;4799.258557327779;1117.2895213652234;1.7434124054145804e-05;0.08489013028184002;0.47683435951141107;500
Insula;0.23935545664731914;0.4864903678846097;0.24713491123729056;20.78879463757505;1;5.128213331067065e-06;11740.29074029977;2435.4432585843533;1.4312915952781706e-06;0.13987228267496488;0.5091996873054946;500
Parietal;0.23935545664731914;0.45041080951984447;0.21105535287252533;17.340908295107795;1;3.1238915986343234e-05;11579.918358912028;2691.4956375878437;1.689501319982526e-05;0.15491325602376463;0.46512239648664216;500
Temporal;0.23935545664731914;0.43372934087110804;0.1943738842237889;15.700928585646807;1;7.418773990615238e-05;15075.4587896084;3593.300306857427;2.7234807794414134e-05;0.069186332526494;0.41793667363930953;500
