marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Subcortical_Deep_Gray;0.23935545664731914;0.4417963620694195;0.2024409054221004;16.31728470947337;1;5.357305708676858e-05;16568.682953173564;3798.436911838868;1.2889420534330594e-05;0.050419492052798935;0.3936447314401502;500
Insula;0.23935545664731914;0.3460955507563462;0.10674009410902704;7.40287508897643;1;0.006511971690819971;11924.764220111952;4219.174524062817;0.004708526272549456;0.010364725390379836;0.2710698034259432;500
Cingulate;0.23935545664731914;0.3480684672604319;0.10871301061311275;7.014545656496466;1;0.008085014697806587;9395.191651499019;3410.158172263342;0.005868130604984097;0.0014253537071841538;0.28857328266206067;500
Occipital;0.23935545664731914;0.3302955038707865;0.09094004722346735;6.054191703426852;1;0.013873324392777697;13930.146399329256;5447.732304015917;0.010556278881954567;-0.0555341640959862;0.2937893021030307;500
Frontal;0.23935545664731914;0.23601130334097534;-0.0033441533063438;0.1064501033733336;1;0.7442224136868855;-594.8762732377528;1794.8877548840514;0.7403211277275461;-0.02680618886652374;0.0775057587028423;500
Parietal;0.23935545664731914;0.280262817381536;0.040907360734216885;1.841941667500464;1;0.17472354236470589;6887.866000846168;4988.404143519108;0.16734801263175192;-0.08923665079033734;0.21537581203252817;500
Temporal;0.23935545664731914;0.2907005119943906;0.05134505534707148;3.421005998399721;1;0.06437177500664933;3350.6003928947785;1782.4299428065453;0.06013621350670527;-0.005033036044934364;0.10869974758155952;500
