marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Insula;0.23935545664731914;0.542671365521013;0.30331590887369386;24.456074387078672;1;7.602344272813122e-07;-0.06833453770996067;0.01206932878672088;1.4976354818323373e-08;0.14594816396071425;0.5603841804220449;500
Cingulate;0.23935545664731914;0.5809496915773622;0.34159423493004304;29.210721449650293;1;6.491898434722865e-08;-0.05049813045637315;0.008191940012129917;7.0765330682159e-10;0.22279045634112057;0.5994235217958227;500
Frontal;0.23935545664731914;0.4927358270398272;0.25338037039250805;18.965151189421135;1;1.3312787448681856e-05;-0.04168503708431349;0.00860505077133747;1.2708934902630587e-06;0.03507605427173535;0.51095752025638;500
Occipital;0.23935545664731914;0.7370313885189025;0.4976759318715833;59.28168590864993;1;1.3664232362768173e-14;-0.08173392555047136;0.008194330864740414;1.9719525507052706e-23;0.4519102764224225;0.740035133693746;500
Parietal;0.23935545664731914;0.5966245821047939;0.3572691254574747;31.756540249812645;1;1.7475977417559267e-08;-0.05671979467002051;0.008561647748124283;3.4755628836796614e-11;0.2236860204378156;0.6086784233656102;500
Temporal;0.23935545664731914;0.5395177702581063;0.30016231361078716;24.994102190888043;1;5.750595132403688e-07;-0.057734307037757275;0.010090166636639556;1.0537726319250495e-08;0.036586371530481394;0.5395678087295411;500
Subcortical_Deep_Gray;0.23935545664731914;0.5745517897916878;0.3351963331443686;26.820160789389774;1;2.2329561486831636e-07;-0.08046914787680048;0.013099922940270658;8.112062752619353e-10;0.11311020146652674;0.5772913238569227;500
