marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Insula;0.23935545664731914;0.6121621163489704;0.3728066597016513;32.444999701686925;1;1.2261404257655037e-08;-10.592188327050545;1.562164790047844;1.1979784726931518e-11;0.2787915701086336;0.6222892551666779;500
Frontal;0.23935545664731914;0.5888253868956309;0.34946993024831174;30.116562004655577;1;4.068418123685891e-08;-10.282517010596784;1.6341647416934884;3.1296621779726773e-10;0.28869011418918117;0.5989716807140963;500
Occipital;0.23935545664731914;0.7437581739218194;0.5044027172745003;57.91237478849126;1;2.7405763658057562e-14;-16.231458753124794;1.6461108679163712;6.17476863526314e-23;0.4671995628248808;0.7234192876772635;500
Subcortical_Deep_Gray;0.23935545664731914;0.682883138331721;0.4435276816844018;43.486075842693026;1;4.2698684249222974e-11;-11.762310742453186;1.428751110726946;1.8322057512118742e-16;0.3854090355649149;0.6783334146200738;500
Parietal;0.23935545664731914;0.64526668109887;0.4059112244515508;38.74255322621133;1;4.835514917399706e-10;-10.64575767888246;1.4510639671254635;2.1922147883123732e-13;0.3516178452270648;0.6548955668541592;500
Cingulate;0.23935545664731914;0.6049979384308395;0.3656424817835203;32.05323257945878;1;1.5000528307534156e-08;-5.514217739153032;0.8602016777843525;1.4515946509048734e-10;0.31547614998806706;0.6152514324108032;500
Temporal;0.23935545664731914;0.5990204075009123;0.3596649508535932;32.01510531797703;1;1.5297841753503104e-08;-10.40542957756063;1.5904381592024739;6.05019091783078e-11;0.30031428284585915;0.6040302395782314;500
